;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##;Has Double Doors##other##
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108901FF7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108902DD1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108902DD2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108902DD3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108902DD4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108902DD5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108902DD6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108902DD7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108902FF1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108902FF2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108902FF3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Full Wardrobe, File File;ZXSO108902FF4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108902FF5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108902FF6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108902FF7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108903DD1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108903DD2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108903DD3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108903DD4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108903DD5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108903DD6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108903DD7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108903FF1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108903FF2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108903FF3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe, File File;ZXSO108903FF4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108903FF5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108903FF6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108903FF7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Full Wardrobe, Right Upper Shelves & Lower Door, Double Doors;ZXSO108904DD1N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Full Wardrobe, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108904DD2N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108904DD3N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Full Wardrobe, Right Full Wardrobe, Double Doors;ZXSO108904DD4N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Full Wardrobe, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108904DD5N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108904DD6N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108904DD7N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Full Wardrobe, Right Upper Shelves & Lower Door, File File;ZXSO108904FF1N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Full Wardrobe, Right Upper Shelves & File File Pedestal, File File;ZXSO108904FF2N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108904FF3N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Full Wardrobe, Right Full Wardrobe, File File;ZXSO108904FF4N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Full Wardrobe, Right Upper Wardrobe & Lower Door, File File;ZXSO108904FF5N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108904FF6N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108904FF7N;"Stor Wall w/L Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door, Double Doors;ZXSO108905DD1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108905DD2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108905DD3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Full Wardrobe, Double Doors;ZXSO108905DD4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108905DD5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108905DD6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108905DD7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door, File File;ZXSO108905FF1N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal, File File;ZXSO108905FF2N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108905FF3N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Full Wardrobe, File File;ZXSO108905FF4N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door, File File;ZXSO108905FF5N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108905FF6N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108905FF7N;"Stor Wall w/L Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
