,Model##other##,Description##other##,Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Upper Shelves & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92903FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Shlvs & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,1
"Upper Shelves & Box Box File Pedestal, Left File File, Right File File",ZXRS92903FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Shlvs & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0,0
"Full Wardrobe, Left Double Doors, Right Double Doors",ZXRS92904DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Full Wdrb-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1,1
"Full Wardrobe, Left Double Doors, Right File File",ZXRS92904DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Full Wdrb-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,1,0
"Full Wardrobe, Left File File, Right Double Doors",ZXRS92904FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Full Wdrb-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0,1
"Full Wardrobe, Left File File, Right File File",ZXRS92904FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Full Wdrb-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Full Wardrobe,0,0
"Upper Wardrobe & Lower Door, Left Double Doors, Right Double Doors",ZXRS92905DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,1
"Upper Wardrobe & Lower Door, Left Double Doors, Right File File",ZXRS92905DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & Low Dr-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1,0
"Upper Wardrobe & Lower Door, Left File File, Right Double Doors",ZXRS92905FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,1
"Upper Wardrobe & Lower Door, Left File File, Right File File",ZXRS92905FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & Low Dr-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0,0
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right Double Doors",ZXRS92906DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,1
"Upper Wardrobe & File File Pedestal, Left Double Doors, Right File File",ZXRS92906DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & FF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1,0
"Upper Wardrobe & File File Pedestal, Left File File, Right Double Doors",ZXRS92906FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,1
"Upper Wardrobe & File File Pedestal, Left File File, Right File File",ZXRS92906FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & FF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0,0
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right Double Doors",ZXRS92907DDDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,1
"Upper Wardrobe & Box Box File Pedestal, Left Double Doors, Right File File",ZXRS92907DDFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,Dbl Drs-L Int Stor,File/File-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1,0
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92907FFDDN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right File File",ZXRS92907FFFFN,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/o  Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
