,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108904DD5L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108904DD6L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108904DD7L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Full Wardrobe,Right Upper Shelves & Lower Door, File File ",ZXOS108904FF1L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Full Wardrobe,Right Upper Shelves & File File Pedestal, File File",ZXOS108904FF2L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108904FF3L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Full Wardrobe,Right Full Wardrobe, File File",ZXOS108904FF4L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, File File ",ZXOS108904FF5L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108904FF6L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108904FF7L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108905DD1L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108905DD2L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108905DD3L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Full Wardrobe, Double Doors",ZXOS108905DD4L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108905DD5L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108905DD6L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108905DD7L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door, File File ",ZXOS108905FF1L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, File File",ZXOS108905FF2L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108905FF3L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Full Wardrobe, File File",ZXOS108905FF4L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Lower Door, File File ",ZXOS108905FF5L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108905FF6L,"Stor Wall w/R Stor Int,108""wx90""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
